user_id,sessions,searches,bookings,non_booking_sessions,cancellations,trips,flight_trip,hotel_trip,flight_only_trip,hotel_only_trip,travellers,seats,checked_bags,hotel_guests,nights,rooms,room_units,gmv,savings,tcv,flight_tcv,hotel_tcv,days_cut_off_vs_sign_up,avg_days_pre_travel,monetization_rate,travellers_per_trip,tcv_per_traveller,tcv_per_room_unit,avg_tcv_per_seat_per_km,quality_travel_ratio,hotel_guests_per_trip,long_stay_ratio,staycation_ratio,foreign_trip_ratio,long_haul_ratio,premium_flight_ratio,flight_only_ratio,seats_per_trip,extended_return_trip_ratio,max_bags_per_seat,budget_flight_ratio,cancel_rate,conversion_rate,late_booking_ratio,slippage_rate,avg_comparable_trip_discount,discount_trip_ratio,clicks_per_session,browsing_mins_per_session,early_booking_ratio,60_to_180_day_advance_booking_ratio,PPC_Index,bonus_pt,FHM_Index_original,FHN_Index_original,FHM_Index,FHN_Index,FCB_Index,NCF_Index,EDC_Index,FHM_Index_rank,FHN_Index_rank,FCB_Index_rank,NCF_Index_rank,EDC_Index_rank,index,perk,kmeans_t,kmeans_u
23557.0,8.0,8.0,2.0,6.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,20.0,20.0,38.0,3802.0,131.5,3670.5,0.0,3670.5,737.0,13.0,0.25,1.5,1223.5,96.59210526315788,0.0,0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,-0.1619829871775794,0.5,10.25,1.2770833333333331,0.0,0.0,0.4738882101187865,0.0,0.5351754410251739,0.0,0.5142836938170459,0.0,0.0,0.13041642835751702,0.30904999737457584,869.0,5466.0,5464.5,4729.5,4052.0,FHM_Index,Free hotel meal,T5,U1
94883.0,7.0,7.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,370.92,0.0,370.92,240.92,130.0,537.0,9.0,0.1428571428571428,1.0,370.92,370.92,0.1753738877508047,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1428571428571428,0.0,0.8571428571428571,0.5998986956665106,0.0,6.571428571428571,0.8238095238095238,0.0,0.0,0.4642735521736714,0.0,0.2598324047308365,0.25630175258640536,0.24968927688902418,0.2563017525864053,0.2014640137464105,0.07452367334715256,0.22298731148924014,3433.0,3119.0,3947.0,4980.0,5113.0,FHN_Index,Free hotel night,T5,U3
101486.0,8.0,8.0,2.0,6.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,3.0,8.0,8.0,13.0,2388.91,0.0,2388.91,189.91,2199.0,527.0,8.5,0.25,1.5,796.3033333333333,183.76230769230767,0.1964212552363101,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0181859978767495,0.0,16.375,2.0375,0.0,0.0,0.5574403971773383,0.25,0.3062513324075174,0.25630175258640536,0.5442961399073644,0.5063017525864053,0.10222492030326229,0.3076113926296423,0.3639411583764171,633.0,960.5,4707.5,3912.0,3286.0,FHM_Index,Free hotel meal,T1,U4
101961.0,8.0,8.0,5.0,3.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,2.0,5.0,19.0,19.0,19.0,3671.66,4.9670000000000005,3666.693,1237.693,2429.0,527.0,6.6,0.625,1.0,733.3385999999999,192.98384210526316,0.1788566779832826,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.2,1.0,0.2,0.0,0.625,0.8,0.375,0.318428524750538,0.2,15.75,1.9625,0.0,0.0,0.590178398383348,0.25,0.2598324047308365,0.2883854726314757,0.4996892768890242,0.5383854726314756,0.3180575590831705,0.609553013729193,0.3797464560237939,1002.5,803.0,1884.5,418.5,3065.0,NCF_Index,No cancellation fees,T1,U4
106907.0,8.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.875,0.0,0.0,19.875,2.46875,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4195981427230101,0.27598213526010135,5669.5,5466.0,5464.5,2286.5,4444.0,NCF_Index,No cancellation fees,T1,U3
118043.0,6.0,6.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,4.0,2.0,1.0,4.0,14.0,14.0,15.0,3170.9,194.55,2976.3500000000004,871.9,2104.45,506.0,8.666666666666666,0.5,1.3333333333333333,744.0875000000001,198.42333333333332,0.3796381576742034,1.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,0.5,0.3333333333333333,0.5,0.1831542652778486,0.6666666666666666,19.5,2.430555555555556,0.0,0.0,0.6480950357372295,0.25,0.3862787503768588,0.33333333333333337,0.6211995120820557,0.5833333333333333,0.23969563737725927,0.3789628328964509,0.49211151296207006,286.0,615.5,3265.0,2922.5,1630.0,FHM_Index,Free hotel meal,T3,U4
120851.0,8.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,11.0,11.0,2386.68,0.0,2386.68,384.68,2002.0,503.0,8.0,0.125,1.0,2386.68,216.9709090909091,0.1711034410093955,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.125,0.0,0.875,-0.7135548063714554,0.0,6.875,0.8625,0.0,0.0,0.5713305926075376,0.25,0.43326957162895724,0.422968419253072,0.6663559435556908,0.6729684192530719,0.29230101095894745,0.06520821417875851,0.06163760803716673,187.0,253.5,2531.5,5215.5,5970.0,FHM_Index,Free hotel meal,T4,U1
125845.0,9.0,9.0,3.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,2.0,4.0,5.0,5.0,6.0,3152.7,213.114,2939.586,2250.586,689.0,497.0,9.333333333333334,0.3333333333333333,1.3333333333333333,734.8965,489.931,0.2140417685888515,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.1055994255056121,0.3333333333333333,17.666666666666668,2.196296296296296,0.0,0.0,0.6206665847970008,0.25,0.29077835651529044,0.17506900344854048,0.5294271855679176,0.4250690034485405,0.37549978293573977,0.173888571143356,0.33088983096286817,743.0,1305.5,1391.5,4509.5,3769.0,FHM_Index,Free hotel meal,T1,U4
133058.0,8.0,8.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,423.51,0.0,423.51,423.51,0.0,489.0,7.0,0.125,1.0,423.51,0.0,0.1562616550834705,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,1.0,0.875,0.7196526607883085,0.0,9.125,1.1354166666666667,0.0,0.0,0.3970784298829322,0.0,0.1734371668981207,0.422968419253072,0.16666666666666666,0.42296841925307194,0.10222492030326229,0.41959814272300905,0.5428905133784084,4864.0,1422.0,4707.5,2492.0,1074.0,EDC_Index,Exclusive discounts,T5,U3
149058.0,8.0,8.0,5.0,3.0,0.0,5.0,5.0,5.0,0.0,0.0,6.0,6.0,2.0,6.0,25.0,25.0,31.0,7795.82,9.527500000000002,7786.2925,2413.2925,5373.0,471.0,6.8,0.625,1.2,1297.715416666667,251.1707258064516,0.2092397602894286,0.6,1.2,0.2,0.0,0.0,0.0,0.6,0.0,1.2,0.6,1.0,0.4,0.0,0.625,0.4,0.375,-0.2600419134078204,0.2,17.75,2.1958333333333333,0.0,0.0,0.6812853770452483,0.25,0.2654892928601965,0.3742287697703531,0.5051253359822893,0.624228769770353,0.4959615659156933,0.4677970423114928,0.22122374573122372,882.0,412.0,315.0,1466.5,5135.0,FCB_Index,Free checked bag,T3,U1
152583.0,8.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,793.8299999999999,0.0,793.8299999999999,367.83,426.0,468.0,9.0,0.125,1.0,793.8299999999999,396.915,0.1684304855564352,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.125,0.0,0.875,0.370759683587165,0.0,18.625,2.316666666666667,0.0,0.0,0.49734853851996735,0.0,0.2598324047308365,0.08963508591973869,0.24968927688902418,0.08963508591973868,0.4823771016146326,0.06520821417875851,0.352671417110687,3433.0,4761.0,428.0,5215.5,3456.0,FCB_Index,Free checked bag,T1,U4
